"astro-ph/0512553","Patricio S. Letelier","D. Vogt and P.S. Letelier","Comments on ""Perspectives on Galactic Dynamics via General Relativity""","5 pages, 1 figure",,,,"astro-ph gr-qc",,"  In this comment we question some arguments presented in astro-ph/0512048 to
refuse the presence of an singular mass surface layer. In particular, incorrect
expressions are used for the disk's surface mass density. We also point out
that the procedure of removing the descontinuity on the $z=0$ plane with a
region of continuous density gradient generates other two regions of
descontinuities with singular mass surface layers making the model unrealistic.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 18:40:32 GMT""}]","2007-05-23"
"astro-ph/0512581","Tomoaki Matsumoto","Tomoaki Matsumoto, Takeshi Nakazato, and Kohji Tomisaka","Alignment of Outflows with Magnetic Fields in Cloud Cores","5 pages, 2 figures, Accepted by ApJ Letters","Astrophys.J.637:L105-L108,2006","10.1086/500646",,"astro-ph",,"  We estimate the polarized thermal dust emission from MHD simulations of
protostellar collapse and outflow formation in order to investigate alignment
of outflows with magnetic fields. The polarization maps indicate that alignment
of an outflow with the magnetic field depends on the field strength inside the
cloud core; the direction of the outflow, projected on the plane of the sky, is
aligned preferentially with the mean polarization vector for a cloud core with
a magnetic field strength of 80 microgauss, while it does not tend to be
aligned for 50 microgauss as long as the 1000 AU scale is considered. The
direction of the magnetic field at the cloud center is probed by the direction
of the outflow. In addition, the magnetic field at the cloud center can be
revealed by ALMA even when the source is embedded deeply in the envelope. The
Chandrasekhar-Fermi formula is examined using the polarization maps, indicating
that the field strength predicted by the formula should be corrected by a
factor of 0.24 - 0.44. The correction factor has a tendency to be lower for a
cloud core with a weaker magnetic field.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 08:20:30 GMT""}]","2009-11-13"
"astro-ph/0512582","Anastasios Avgoustidis","A. Avgoustidis, E. P. S. Shellard","Effect of Reconnection Probability on Cosmic (Super)string Network
  Density","6 pages, 4 figures","Phys.Rev.D73:041301,2006","10.1103/PhysRevD.73.041301","DAMTP-2005-133","astro-ph hep-ph hep-th",,"  We perform numerical simulations of cosmic string evolution with
intercommuting probability $P$ in the range $5\times 10^{-3}\le P\le 1$, both
in the matter and radiation eras, using a modified version of the
Allen-Shellard code. We find that the dependence of the scaling density on $P$
is significantly different than the suggested $\rho\propto P^{-1}$ form. In
particular, for probabilities greater than $P\simeq 0.1$, $\rho(1/P)$ is
approximately flat, but for $P$ less than this value it is well-fitted by a
power-law with exponent $0.6^{+0.15}_{-0.12}$. This shows that the enhancement
of string densities due to a small intercommuting probability is much less
prominent than initially anticipated. We interpret the flat part of $\rho(1/P)$
in terms of multiple opportunities for string reconnections during one crossing
time, due to small-scale wiggles. We also propose a two-scale model
incorporating the key physical mechanisms, which satisfactorily fits our
results over the whole range of $P$ covered by the simulations.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 23:12:52 GMT""}]","2009-11-13"
"astro-ph/0512583","James W. Colbert","James W. Colbert, Harry Teplitz, Paul Francis, Povilas Palunas, Gerard
  M. Williger, and Bruce Woodgate","Ultraviolet-Bright, High-Redshift ULIRGS","12 pages, 3 figures, accepted by ApJ Letters","Astrophys.J.637:L89-L92,2006","10.1086/500647",,"astro-ph",,"  We present Spitzer Space Telescope observations of the z=2.38 lya-emitter
over-density associated with galaxy cluster J2143-4423, the largest known
structure (110 Mpc) above z=2. We imaged 22 of the 37 known lya-emitters within
the filament-like structure, using the MIPS 24um band. We detected 6 of the
lya-emitters, including 3 of the 4 clouds of extended (>50 kpc) lyman alpha
emission, also known as Lya Blobs. Conversion from rest-wavelength 7um to total
far-infrared luminosity using locally derived correlations suggests all the
detected sources are in the class of ULIRGs, with some reaching Hyper-LIRG
energies. Lya blobs frequently show evidence for interaction, either in HST
imaging, or the proximity of multiple MIPS sources within the Lya cloud. This
connection suggests that interaction or even mergers may be related to the
production of Lya blobs. A connection to mergers does not in itself help
explain the origin of the Lya blobs, as most of the suggested mechanisms for
creating Lya blobs (starbursts, AGN, cooling flows) could also be associated
with galaxy interactions.
","[{""version"":""v1"",""created"":""Thu, 22 Dec 2005 23:43:38 GMT""}]","2009-11-13"
"astro-ph/0512584","Bernd Reindl","G.A. Tammann (Astr. Inst. Univ. Basel)","The Ups and Downs of the Hubble Constant","30 pages, 12 figures, 2 tables. 79th Annual Scientific Meeting of the
  Astronomische Gesellschaft 2005, Karl-Schwarzschild-Lecture, to appear in
  Reviews in Modern Astronomy, 19, 1",,"10.1002/9783527619030.ch1",,"astro-ph",,"  A brief history of the determination of the Hubble constant H_0 is given.
Early attempts following Lemaitre (1927) gave much too high values due to
errors of the magnitude scale, Malmquist bias and calibration problems. By 1962
most authors agreed that 75< H_0 <130. After 1975 a dichotomy arose with values
near 100 and others around 55. The former came from apparent-magnitude-limited
samples and were affected by Malmquist bias. New distance indicators were
introduced; they were sometimes claimed to yield high values of H_0, but the
most recent data lead to H_0 in the 60's, yet with remaining difficulties as to
the zero-point of the respective distance indicators. SNe Ia with their large
range and very small luminosity dispersion (avoiding Malmquist bias) offer a
unique opportunity to determine the large-scale value of H_0. Their maximum
luminosity can be well calibrated from 10 SNe Ia in local parent galaxies whose
Cepheids have been observed with HST. An unforeseen difficulty - affecting all
Cepheid distances - is that their P-L relation varies from galaxy to galaxy,
presumably in function of metallicity. A proposed solution is summarized here.
The conclusion is that H_0 = 63.2 +/- 1.3 (random) +/- 5.3 (systematic) on all
scales. The expansion age becomes then (with Omega_m=0.3, Omega_Lambda=0.7)
15.1 Gyr.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 02:59:43 GMT""}]","2015-06-03"
"astro-ph/0512585","Claude-Andre Faucher-Giguere","C.-A. Faucher-Giguere (1, 2) and V. M. Kaspi (1) ((1) McGill
  University, (2) Harvard University)","Birth and Evolution of Isolated Radio Pulsars","27 pages, including 15 figures, accepted by ApJ","Astrophys.J.643:332-355,2006","10.1086/501516",,"astro-ph",,"  We investigate the birth and evolution of Galactic isolated radio pulsars. We
begin by estimating their birth space velocity distribution from proper motion
measurements of Brisken et al. (2002, 2003). We find no evidence for
multimodality of the distribution and favor one in which the absolute
one-dimensional velocity components are exponentially distributed and with a
three-dimensional mean velocity of 380^{+40}_{-60} km s^-1. We then proceed
with a Monte Carlo-based population synthesis, modelling the birth properties
of the pulsars, their time evolution, and their detection in the Parkes and
Swinburne Multibeam surveys. We present a population model that appears
generally consistent with the observations. Our results suggest that pulsars
are born in the spiral arms, with a Galactocentric radial distribution that is
well described by the functional form proposed by Yusifov & Kucuk (2004), in
which the pulsar surface density peaks at radius ~3 kpc. The birth spin period
distribution extends to several hundred milliseconds, with no evidence of
multimodality. Models which assume the radio luminosities of pulsars to be
independent of the spin periods and period derivatives are inadequate, as they
lead to the detection of too many old simulated pulsars in our simulations.
Dithered radio luminosities proportional to the square root of the spin-down
luminosity accommodate the observations well and provide a natural mechanism
for the pulsars to dim uniformly as they approach the death line, avoiding an
observed pile-up on the latter. There is no evidence for significant torque
decay (due to magnetic field decay or otherwise) over the lifetime of the
pulsars as radio sources (~100 Myr). Finally, we estimate the pulsar birthrate
and total number of pulsars in the Galaxy.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 03:51:01 GMT""},{""version"":""v2"",""created"":""Wed, 19 Sep 2007 00:24:33 GMT""}]","2008-11-26"
"astro-ph/0512586","Charles Shapiro","Charles Shapiro (1,2), Michael S. Turner (1,2) ((1) University of
  Chicago, (2) Kavli Institute for Cosmological Physics)","What Do We Really Know About Cosmic Acceleration?","9 pages, 8 figures","Astrophys.J.649:563-569,2006","10.1086/506470",,"astro-ph",,"  Essentially all of our knowledge of the acceleration history of the Universe
- including the acceleration itself - is predicated upon the validity of
general relativity. Without recourse to this assumption, we use SNeIa to
analyze the expansion history and find (i) very strong (5 sigma) evidence for a
period of acceleration, (ii) strong evidence that the acceleration has not been
constant, (iii) evidence for an earlier period of deceleration and (iv) only
weak evidence that the Universe has not been decelerating since z~0.3.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 03:40:54 GMT""}]","2008-11-26"
"astro-ph/0512587","Yasuhide Sota","Y. Sota, O. Iguchi, M. Morikawa and A. Nakamichi","Local virial relation and velocity anisotropy in self-gravitating system","Proceedings of The Third 21COE Symposium : Astrophysics as
  Interdisciplinary Science","J.Phys.Conf.Ser.31:173-174,2006","10.1088/1742-6596/31/1/039",,"astro-ph",,"  We investigate the merging process in N-body self-gravitating system from the
viewpoints of the local virial relation which is the relation between the local
kinetic energy and the local potential. We compare both the density profile and
the phase space density profile in cosmological simulations with the critical
solutions of collisionless static state satisfying the local virial (LV)
relation. We got the results that the critical solution can explain the
characteristic density profile with the appropriate value of anisotropy
parameter $\beta \sim 0.5$. It can also explain the power law of the phase
space density profile in the outer part of a bound state. However, it fails in
explaining the central low temperature part which is connected to the scale
invariant phase space density. It can be well fitted to the critical solution
with the higher value of$\beta \sim 0.75$. These results indicate that the LV
relation is not compatible with the scale invariant phase space density in
cosmological simulation.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 04:10:48 GMT""}]","2009-11-13"
"astro-ph/0512588","Ann Burgess","A. M. Burgess and R. W. Hunstead","The Molonglo Southern 4 Jy sample (MS4). I. Definition","59 pages, 5 Postscript figures. To appear in Astronomical Journal.
  For a higher-resolution version of Figure 2, see
  http://www.physics.usyd.edu.au/astrop/rwh/ms4/","Astron.J.131:100-113,2006","10.1086/498677",,"astro-ph",,"  We have defined a complete sample of 228 southern radio sources at 408 MHz
with integrated flux densities S_408 > 4.0 Jy, Galactic latitude |b| > 10 deg
and declination -85 deg < delta < -30 deg. The main finding survey used was the
Molonglo Reference Catalogue. We describe in detail how the Molonglo Southern 4
Jy sample (MS4) was assembled and its completeness assessed. Sources in the
sample were imaged at 843 MHz with the Molonglo Observatory Synthesis Telescope
to obtain positions accurate to about 1 arcsec, as well as flux densities and
angular sizes; follow-up radio and optical observations are presented in Paper
II. Radio spectra for the MS4 have been compiled from the literature and used
to estimate flux densities at 178 MHz. The strong-source subset of MS4, with
S_178 > 10.9 Jy (SMS4), provides a southern sample closely equivalent to the
well-studied northern 3CRR sample. Comparison of SMS4 with 3CRR shows a
reassuring similarity in source density and median flux density between the two
samples.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 07:28:29 GMT""}]","2008-11-26"
"astro-ph/0512589","Cormac Purcell","C. R. Purcell, R. Balasubramanyam, M. G. Burton, A. J. Walsh, V.
  Minier, M. R. Hunt-Cunningham, L. L. Kedziora-Chudczer, S. N. Longmore, T.
  Hill, I. Bains, P. J. Barnes, A. L. Busfield, P. Calisse, N. H. M. Crighton,
  S. J. Curran, T. M. Davis, J. T. Dempsey, G. Derragopian, B. Fulton, M. G.
  Hidas, M. G. Hoare, J.-K. Lee, E. F. Ladd, S. L. Lumsden, T. J. T. Moore, M.
  T. Murphy, R. D. Oudmaijer, M. B. Pracy, J. Rathborne, S. Robertson, A. S. B.
  Schultz, J. Shobbrook, P. A. Sparks, J. Storey, T. Travouillion","A CH3CN and HCO+ survey towards southern methanol masers associated with
  star formation","29 pages, 16 figures. Accepted for publication in MNRAS. For
  associated online figures please see
  http://www.phys.unsw.edu.au/~crp/papers/cpurcell_2005_online.pdf","Mon.Not.Roy.Astron.Soc.367:553-576,2006","10.1111/j.1365-2966.2005.09921.x",,"astro-ph",,"  We present the initial results of a 3-mm spectral line survey towards 83
methanol maser selected massive star-forming regions. Here we report
observations of the J=5-4 and 6-5 rotational transitions of methyl cyanide
(CH3CN) and the J=1-0 transition of HCO+and H13CO+.
  CH3CN emission is detected in 58 sources (70 %) of our sample). We estimate
the temperature and column density for 37 of these using the rotational diagram
method. The temperatures we derive range from 28-166 K, and are lower than
previously reported temperatures, derived from higher J transitions. We find
that CH3CN is brighter and more commonly detected towards ultra-compact HII
(UCHII) regions than towards isolated maser sources. Detection of CH3CN towards
isolated maser sources strongly suggests that these objects are internally
heated and that CH3CN is excited prior to the UCHII phase of massive
star-formation.
  HCO+ is detected towards 82 sources (99 % of our sample), many of which
exhibit asymmetric line profiles compared to H13CO+. Skewed profiles are
indicative of inward or outward motions, however, we find approximately equal
numbers of red and blue-skewed profiles among all classes. Column densities are
derived from an analysis of the HCO+ and H13CO+ line profiles.
  80 sources have mid-infrared counterparts: 68 seen in emission and 12 seen in
absorption as `dark clouds'. Seven of the twelve dark clouds exhibit asymmetric
HCO+ profiles, six of which are skewed to the blue, indicating infalling
motions. CH3CN is also common in dark clouds, where it has a 90 % detection
rate.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 05:42:54 GMT""}]","2009-11-11"
"astro-ph/0512590","Ann Burgess","A. M. Burgess and R. W. Hunstead","The Molonglo Southern 4 Jy sample (MS4). II. ATCA imaging and optical
  identification","102 pages; 6 figures in 21 Postscript files. To appear in
  Astronomical Journal. For higher-resolution versions of some figures, see
  http://www.physics.usyd.edu.au/astrop/rwh/ms4/","Astron.J.131:114-132,2006","10.1086/498679",,"astro-ph",,"  Of the 228 sources in the Molonglo Southern 4 Jy Sample (MS4), the 133 with
angular sizes < 35 arcsec have been imaged at 5 GHz at 2-4 arcsec resolution
with the Australia Telescope Compact Array. More than 90% of the sample has
been reliably optically identified, either on the plates of the UK Schmidt
Southern Sky Survey or on R-band CCD images made with the Anglo-Australian
Telescope. A subsample of 137 sources, the SMS4, defined to be a close southern
equivalent of the northern 3CRR sample, was found to have global properties
mostly consistent with the northern sample. Linear sizes of MS4 galaxies and
quasars were found to be consistent with galaxy-quasar unification models of
orientation and evolution.
","[{""version"":""v1"",""created"":""Fri, 23 Dec 2005 07:40:07 GMT""}]","2008-11-26"
