"astro-ph/0511774","Max Tegmark","Max Tegmark (MIT), Anthony Aguirre (UCSC), Martin J Rees (Cambridge),
  Frank Wilczek (MIT)","Dimensionless constants, cosmology and other dark matters","29 pages, 13 figs, minor mods to match published PRD version","Phys.Rev.D73:023505,2006","10.1103/PhysRevD.73.023505",,"astro-ph hep-ph hep-th",,"  We identify 31 dimensionless physical constants required by particle physics
and cosmology, and emphasize that both microphysical constraints and selection
effects might help elucidate their origin. Axion cosmology provides an
instructive example, in which these two kinds of arguments must both be taken
into account, and work well together. If a Peccei-Quinn phase transition
occurred before or during inflation, then the axion dark matter density will
vary from place to place with a probability distribution. By calculating the
net dark matter halo formation rate as a function of all four relevant
cosmological parameters and assessing other constraints, we find that this
probability distribution, computed at stable solar systems, is arguably peaked
near the observed dark matter density. If cosmologically relevant WIMP dark
matter is discovered, then one naturally expects comparable densities of WIMPs
and axions, making it important to follow up with precision measurements to
determine whether WIMPs account for all of the dark matter or merely part of
it.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 16:30:04 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 2005 15:30:08 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jan 2006 21:29:45 GMT""}]","2008-11-26"
"astro-ph/0511806","Patrick A. Young","Patrick A. Young (1,2), Chris L. Fryer (1,3), Aimee Hungerford (1),
  David Arnett (2), Gabriel Rockefeller (1,3), F. X. Timmes (1,3), Benedict
  Voit (1), Casey Meakin (2), & Kristoffer A. Eriksen (2) ((1)Los Alamos Natl.
  Lab., (2)Steward Observatory, University of Arizona, (3)Physics Dept.,
  University of Arizona)","Constraints on the Progenitor of Cassiopeia A","31 pages, 4 figures, accepted for publication to the Astrophysical
  Journal","Astrophys.J.640:891-900,2006","10.1086/500108","LA-UR-05-6933","astro-ph",,"  We compare a suite of 3D explosion calculations and stellar models
incorporating advanced physics with observational constraints on the progenitor
of Cassiopeia A. We consider binary and single stars from 16 to 40 solar masses
with a range of explosion energies and geometries. The parameter space allowed
by observations of nitrogen rich high velocity ejecta, ejecta mass, compact
remnant mass, and 44Ti and 56Ni abundances individually and as an ensemble is
considered. A progenitor of 15-25 solar masses which loses its hydrogen
envelope to a binary interaction and undergoes an energetic explosion can match
all the observational constraints.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 20:48:43 GMT""}]","2009-11-13"
"astro-ph/0511807","Kevin Luhman","K. L. Luhman, Lucia Adame, Paola D'Alessio, Nuria Calvet, Lee
  Hartmann, S. T. Megeath, and G. G. Fazio","Discovery of a Planetary-Mass Brown Dwarf with a Circumstellar Disk","5 pages, accepted to Astrophysical Journal Letters","Astrophys.J.635:L93-L96,2005","10.1086/498868",,"astro-ph",,"  Using the Hubble Space Telescope, the 4 m Blanco telescope at the Cerro
Tololo Inter-American Observatory, and the Spitzer Space Telescope, we have
performed deep imaging from 0.8 to 8 um of the southern subcluster in the
Chamaeleon I star-forming region. In these data, we have discovered an object,
Cha 110913-773444, whose colors and magnitudes are indicative of a very
low-mass brown dwarf with a circumstellar disk. In a near-infrared spectrum of
this source obtained with the Gemini Near-Infrared Spectrograph, the presence
of strong steam absorption confirms its late-type nature (>=M9.5) while the
shapes of the H- and K-band continua and the strengths of the Na I and K I
lines demonstrate that it is a young, pre-main-sequence object rather than a
field dwarf. A comparison of the bolometric luminosity of Cha 110913-773444 to
the luminosities predicted by the evolutionary models of Chabrier and Baraffe
and Burrows and coworkers indicates a mass of 8+7/-3 M_Jup, placing it fully
within the mass range observed for extrasolar planetary companions (M<=15
M_Jup). The spectral energy distribution of this object exhibits mid-infrared
excess emission at >5 um, which we have successfully modeled in terms of an
irradiated viscous accretion disk with M'<=10e-12 M_sun/year. Cha 110913-773444
is now the least massive brown dwarf observed to have a circumstellar disk, and
indeed is one of the least massive free-floating objects found to date. These
results demonstrate that the raw materials for planet formation exist around
free-floating planetary-mass bodies.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 21:32:34 GMT""}]","2009-11-13"
"astro-ph/0511808","Rita Sinha Dr.","Rita Sinha and Tarun Souradeep","Post-WMAP Assessment of Infrared Cutoff in the Primordial Spectrum from
  Inflation","Changes to match version accepted for publication in PRD","Phys.Rev.D74:043518,2006","10.1103/PhysRevD.74.043518","IUCAA-46/2005","astro-ph",,"  The recent Cosmic Microwave Background (CMB) measurements indicate that there
is power deficiency of the CMB anisotropies at large scales compared with the
$\Lambda$CDM model. We have investigated the possibility of explaining such
effects by a class of primordial power spectra which have infrared cutoffs
close to the horizon scale. The primordial power spectrum recovered by direct
deconvolution of the observed CMB angular spectrum indicates that the data
prefers a sharp infrared cutoff with a localized excess (bump) just above the
cutoff. We have been motivated to assess plausible extensions of simplest
inflationary scenarios which readily accommodate similar form of infrared
cutoff. We carry out a complete Bayesian analysis of the parameter space using
{\it Markov Chain Monte Carlo} technique with such a class of primordial power
spectra. We show that primordial power spectrum that have features such as an
infrared cutoff followed by a subsequent excess in power give better fit to the
observed data compared to a nearly scale-invariant power law or power spectrum
with just a monotonic infrared cutoff. However, there is substantial room for
improvement in the match to data and calls for exploration of other mechanisms
that may lead to infrared cutoff even closer to that recovered by direct
deconvolution approach.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 22:33:07 GMT""},{""version"":""v2"",""created"":""Fri, 11 Aug 2006 12:03:52 GMT""}]","2009-11-13"
"astro-ph/0511809","Mustapha Mouhcine","M.Mouhcine, I. Lewis, B. Jones, F. Lamareille, S.J. Maddox, T. Contini","The [OII]/Halpha ratio of emission line galaxies in the 2dF redshift
  survey","2005, MNRAS 362, 1143 (16 pages, 16 figures)","Mon.Not.Roy.Astron.Soc.362:1143-1156,2005","10.1111/j.1365-2966.2005.09211.x",,"astro-ph",,"  We investigate the systematic variation of the [OII]3727/Halpha flux line
ratio as a function of various galaxy properties, i.e., luminosity,
metallicity, reddening, and excitation state, for a sample of 1124
emission-line galaxies, with a mean redshift z ~ 0.06, drawn from the Two
Degree Field Galaxy Redshift Survey. The mean observed and extinction-corrected
emission-line flux ratios agree well with the values derived from the $B$-band
selected Nearby Field Galaxy Survey galaxy sample, but are significantly
different from the values obtained from the Halpha-selected Universidad
Complutense de Madrid Survey galaxy sample. This is because the different
selection criteria applied in these surveys lead to a significant difference in
the mean extinction and metallicity of different samples. We use the R_{23}
parameter to estimate the gas-phase oxygen abundance and find that the
extinction-corrected [OII]3727/Halpha ratio depends on the oxygen abundance.
For 12+log(O/H)>8.4, we confirm that the emission-line ratio decreases with
increasing metallicity. We have extended the relationship further to the
metal-poor regime, 12+log(O/H)< 8.4, and find that the correlation between the
extinction-corrected [OII]3727/Halpha ratio and the metallicity reverses in
comparison to the relationship for metal-rich galaxies. For metal-poor
galaxies, in contrast with metal-rich ones, the variation of
extinction-corrected [OII]3727/Halpha ratio is correlated with the ionization
states of the interstellar gas.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 22:51:12 GMT""}]","2009-01-06"
"astro-ph/0511810","Jenny Greene","J. E. Greene (Harvard), A. J. Barth (UC Irvine), L. C. Ho (Carnegie)","The Smallest AGN Host Galaxies","6 pages, 5 figures, uses elsart.cls, from ""QSO Hosts: Evolution and
  Environment"", P. D. Barthel, D. B. Sanders, eds., August 2005, Leiden
  University, New Astr",,"10.1016/j.newar.2006.06.080",,"astro-ph",,"  We describe our efforts to study dwarf galaxies with active nuclei, whose
black holes, with masses < 10^6 M_sun, provide the best current observational
constraints on the mass distribution of primordial seed black holes. Although
these low-mass galaxies do not necessarily contain classical bulges, Barth,
Greene, & Ho (2005) show that their stellar velocity dispersions and black hole
masses obey the same relation as more massive systems. In order to characterize
the properties of the dwarf hosts without the glare of the active nucleus, we
have compiled a complementary sample of narrow-line active galaxies with
low-mass hosts. The host galaxy properties, both their structures and stellar
populations, are consistent with the general properties of low-mass, blue
galaxies from Sloan. The black holes in these galaxies are probably radiating
close to their Eddington limits, suggesting we may have found Type 2 analogues
of narrow-line Seyfert 1 galaxies.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 2005 23:33:41 GMT""}]","2009-11-11"
"astro-ph/0511811","Krzysztof Belczynski","K. Belczynski, V. Kalogera, F.A. Rasio, R.E. Taam, A. Zezas, T. Bulik,
  T.J. Maccarone, N. Ivanova","Compact Object Modeling with the StarTrack Population Synthesis Code","40 pages, 14 figures, accepted to ApJS (major extensions/revisions)",,"10.1086/521026",,"astro-ph",,"  We present a comprehensive description of the population synthesis code
StarTrack. The original code has been significantly modified and updated.
Special emphasis is placed here on processes leading to the formation and
further evolution of compact objects (white dwarfs, neutron stars, and black
holes). Both single and binary star populations are considered. The code now
incorporates detailed calculations of all mass-transfer phases, a full
implementation of orbital evolution due to tides, as well as the most recent
estimates of magnetic braking. This updated version of StarTrack can be used
for a wide variety of problems, with relevance to many current and planned
observatories, e.g., studies of X-ray binaries (Chandra, XMM-Newton),
gravitational radiation sources (LIGO, LISA), and gamma-ray burst progenitors
(HETE-II, Swift). The code has already been used in studies of Galactic and
extra-galactic X-ray binary populations, black holes in young star clusters,
Type Ia supernova progenitors, and double compact object populations. Here we
describe in detail the input physics, we present the code calibration and
tests, and we outline our current studies in the context of X-ray binary
populations.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 02:07:18 GMT""},{""version"":""v2"",""created"":""Fri, 24 Nov 2006 19:49:11 GMT""},{""version"":""v3"",""created"":""Thu, 7 Jun 2007 01:40:18 GMT""}]","2009-11-11"
"astro-ph/0511812","Gregory G. Howes","Gregory G. Howes, Steven C. Cowley, William Dorland, Gregory W.
  Hammett, Eliot Quataert, and Alexander A. Schekochihin","Astrophysical Gyrokinetics: Basic Equations and Linear Theory","emulateapj, 24 pages, 10 figures, revised submission to ApJ:
  references added, typos corrected, reorganized and streamlined","Astrophys.J.651:590-614,2006","10.1086/506172",,"astro-ph",,"  Magnetohydrodynamic (MHD) turbulence is encountered in a wide variety of
astrophysical plasmas, including accretion disks, the solar wind, and the
interstellar and intracluster medium. On small scales, this turbulence is often
expected to consist of highly anisotropic fluctuations with frequencies small
compared to the ion cyclotron frequency. For a number of applications, the
small scales are also collisionless, so a kinetic treatment of the turbulence
is necessary. We show that this anisotropic turbulence is well described by a
low frequency expansion of the kinetic theory called gyrokinetics. This paper
is the first in a series to examine turbulent astrophysical plasmas in the
gyrokinetic limit. We derive and explain the nonlinear gyrokinetic equations
and explore the linear properties of gyrokinetics as a prelude to nonlinear
simulations. The linear dispersion relation for gyrokinetics is obtained and
its solutions are compared to those of hot-plasma kinetic theory. These results
are used to validate the performance of the gyrokinetic simulation code {\tt
GS2} in the parameter regimes relevant for astrophysical plasmas. New results
on global energy conservation in gyrokinetics are also derived. We briefly
outline several of the problems to be addressed by future nonlinear
simulations, including particle heating by turbulence in hot accretion flows
and in the solar wind, the magnetic and electric field power spectra in the
solar wind, and the origin of small-scale density fluctuations in the
interstellar medium.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 00:57:57 GMT""},{""version"":""v2"",""created"":""Thu, 4 May 2006 20:54:14 GMT""}]","2008-11-26"
"astro-ph/0511813","Ashley Ruiter","A. J. Ruiter, K. Belczynski and T. E. Harrison (NMSU)","The Nature of the Faint Chandra X-ray Sources in the Galactic Centre","resubmitted to ApJ Letters, changes to text (i.e., Discussion) and
  References","Astrophys.J.640:L167-L170,2006","10.1086/503383",,"astro-ph",,"  Recent Chandra observations have revealed a large population of faint X-ray
point sources in the Galactic Centre. The observed population consists of about
2000 faint sources in the luminosity range ~10^31-10^33 erg/s. The majority of
these sources (70%) are described by hard spectra, while the rest are rather
soft. The nature of these sources still remains unknown. Belczynski & Taam
(2004) demonstrated that X-ray binaries with neutron star or black hole
accretors may account for most of the soft sources, but are not numerous enough
to account for the observed number and X-ray properties of the faint hard
sources. A population synthesis calculation of the Galactic Centre region has
been carried out. Our results indicate that the numbers and X-ray luminosities
of intermediate polars are consistent with the observed faint hard Galactic
Centre population.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 02:52:25 GMT""},{""version"":""v2"",""created"":""Mon, 13 Feb 2006 21:58:23 GMT""}]","2009-11-13"
"astro-ph/0511814","Xin-Zhou Li","Xiang-hua Zhai, You-dong Xu, Xin-zhou Li","Viscous generalized Chaplygin gas","8 pages, 5 eps figures, typos corrected","Int.J.Mod.Phys.D15:1151-1162,2006","10.1142/S0218271806008784",,"astro-ph",,"  Viscous GCG(generalized Chaplygin gas) cosmology is discussed, assuming that
there is bulk viscosity in the barotropic fluid and GCG. The dynamical analysis
indicates that the phase
$w_g=-1+\sqrt{3}\gamma\kappa\tau_{g}/(\gamma-\sqrt{3}\kappa\tau_{\gamma})$ is a
dynamical attractor and the equation of state of GCG approaches it from either
$w_g>-1$ or $w_g<-1$ depending on the choice of its initial cosmic density
parameter and the ratio of pressure to critical energy density. Obviously, the
equation of state $w_g$ can cross the boundary $w_g=-1$. Also, from the point
of view of dynamics, the parameters of viscous GCG should be in the range of
$\gamma>\sqrt{3}\kappa\tau_{\gamma}/(1-\sqrt{3}\kappa\tau_{g})$ and
$0<\alpha<1+\sqrt{3}
\kappa\gamma\tau_{g}/(\gamma-\sqrt{3}\kappa\tau_{\gamma}-\sqrt{3}\kappa\gamma\t
au_{g})$.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 04:24:18 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jan 2006 02:19:30 GMT""}]","2009-11-11"
"astro-ph/0511815","Ewine F. van Dishoeck","F.A. van Broekhuizen, I.M.N. Groot, H.J. Fraser, E.F. van Dishoeck and
  S. Schlemmer (Sackler Laboratory for Astrophysics, Leiden Observatory)","Infrared spectroscopy of solid CO-CO2 mixtures and layers","Accepted in A&A",,"10.1051/0004-6361:20052942",,"astro-ph",,"  The spectra of pure, mixed and layered CO and CO2 ices have been studied
systematically under laboratory conditions using infrared spectroscopy. This
work provides improved resolution spectra (0.5 cm-1) of the CO2 bending and
asymmetric stretching mode, as well as the CO stretching mode, extending the
existing Leiden database of laboratory spectra to match the spectral resolution
reached by modern telescopes and to support the interpretation of the most
recent data from Spitzer. It is shown that mixed and layered CO and CO2 ices
exhibit very different spectral characteristics, which depend critically on
thermal annealing and can be used to distinguish between mixed, layered and
thermally annealed CO-CO2 ices. CO only affects the CO2 bending mode spectra in
mixed ices below 50K under the current experimental conditions, where it
exhibits a single asymmetric band profile in intimate mixtures. In all other
ice morphologies the CO2 bending mode shows a double peaked profile, similar to
that observed for pure solid CO2. Conversely, CO2 induces a blue-shift in the
peak-position of the CO stretching vibration, to a maximum of 2142 cm-1 in
mixed ices, and 2140-2146 cm-1 in layered ices. As such, the CO2 bending mode
puts clear constraints on the ice morphology below 50K, whereas beyond this
temperature the CO2 stretching vibration can distinguish between initially
mixed and layered ices. This is illustrated for the low-mass YSO HH46, where
the laboratory spectra are used to analyse the observed CO and CO2 band
profiles and try to constrain the formation scenarios of CO2.
","[{""version"":""v1"",""created"":""Wed, 30 Nov 2005 08:20:45 GMT""}]","2009-11-11"
