"astro-ph/0511410","Kris Sigurdson","Nicole F. Bell (Caltech), Elena Pierpaoli (Caltech), and Kris
  Sigurdson (Caltech and IAS)","Cosmological Signatures of Interacting Neutrinos","17 pages, 14 figures, minor changes and references added, published
  in Phys. Rev. D","Phys.Rev. D73 (2006) 063523","10.1103/PhysRevD.73.063523","KRL-MAP-309","astro-ph hep-ph",,"  We investigate signatures of neutrino scattering in the Cosmic Microwave
Background (CMB) and matter power spectra, and the extent to which present
cosmological data can distinguish between a free streaming or tightly coupled
fluid of neutrinos. If neutrinos have strong non-standard interactions, for
example, through the coupling of neutrinos to a light boson, they may be kept
in equilibrium until late times. We show how the power spectra for these models
differ from more conventional neutrino scenarios, and use CMB and large scale
structure data to constrain these models. CMB polarization data improves the
constraints on the number of massless neutrinos, while the Lyman--$\alpha$
power spectrum improves the limits on the neutrino mass. Neutrino mass limits
depend strongly on whether some or all of the neutrino species interact and
annihilate. The present data can accommodate a number of tightly-coupled
relativistic degrees of freedom, and none of the interacting-neutrino scenarios
considered are ruled out by current data -- although considerations regarding
the age of the Universe disfavor a model with three annihilating neutrinos with
very large neutrino masses.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 19:32:21 GMT""},{""version"":""v2"",""created"":""Sat, 1 Apr 2006 01:01:51 GMT""}]","2007-05-23"
"astro-ph/0511451","Michael Norman","Michael L. Norman","Hot Gas in Galaxy Clusters: Theory and Simulations","33 pages, 18 figures, to appear in ""Background Microwave Radiation
  and Intracluster Cosmology"", Eds. F. Melchiorri and Y. Rephaeli, proceedings
  of Varenna Summer School, July 2004",,,,"astro-ph",,"  We review the theory of the formation of galaxy clusters and discuss their
role as cosmological probes. We begin with the standard cosmological framework
where we discuss the origin of the CDM matter power spectrum and the growth of
density fluctuations in the linear regime. We then summarize the spherical
top-hat model for the nonlinear growth of fluctuations from which scaling
relations and halo statistics are derived. Numerical methods for simulating gas
in galaxy clusters are then overviewed with an emphasis on multiscale
hydrodynamic simulations of cluster ensembles. Results of hydrodynamic AMR
simulations are described which compare cluster internal and statistical
properties as a function of their assumed baryonic processes. Finally, we
compare various methods of measuring cluster masses using X-ray and the thermal
Sunyaev-Zeldovich effect (SZE). We find that SZE offers great promise for
precision measurements in raw samples of high-z clusters.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 20:51:33 GMT""},{""version"":""v2"",""created"":""Wed, 16 Nov 2005 19:00:06 GMT""}]","2007-05-23"
"astro-ph/0511452","David Hartwick","F.D.A. Hartwick (University of Victoria)","Early Cosmic Chemical Evolution: Relating the Origin of a Diffuse
  Intergalactic Medium and the First Long-Lived Stars","15 pages including 4 figures, accepted for publication in ApJ","Astrophys.J.640:41-46,2006","10.1086/499769",,"astro-ph",,"  Nucleosynthetic signatures in common between the gas responsible for the high
redshift Lyman alpha forest and a subsample of extremely metal poor stars are
found. A simple mass loss model of chemical evolution with physically motivated
parameters provides a consistent picture in which the gas is identified with
that lost by supernova-driven winds during the first generation of star
formation. Substantial mass loss occurs which can account for a diffuse IGM
with up to 80% of the total baryon content and a peak [C-O/H] abundance of
\~-2.9. This mass loss component differs from one produced later during galaxy
formation and evolution that contributes to a circum-galactic medium (CGM). The
CGM was shown earlier to have a mass of ~10% of all baryons and peak [Fe/H]~-1.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:00:03 GMT""}]","2009-11-13"
"astro-ph/0511453","Adam S. Bolton","Adam S. Bolton (1 and 2), Scott Burles (1), Leon V. E. Koopmans (3),
  Tommaso Treu (4 and 5), Leonidas A. Moustakas (6) ((1) MIT, (2) CfA, (3)
  Kapteyn, (4) UCSB, (5) UCLA, (6) JPL/Caltech)","The Sloan Lens ACS Survey. I. A Large Spectroscopically Selected Sample
  of Massive Early-Type Lens Galaxies","ApJ, in press. 20 pages, numerous figures, uses emulateapj. Replaced
  to include full-resolution spectro figures. Version with full-resolution
  imaging figures available at
  http://www.cfa.harvard.edu/~abolton/slacs1_hires.pdf (PDF) or at
  http://www.cfa.harvard.edu/~abolton/slacs1_hires.ps.gz (PS). Additional SLACS
  survey info at http://www.slacs.org","Astrophys.J.638:703-724,2006","10.1086/498884",,"astro-ph",,"  The Sloan Lens ACS (SLACS) Survey is an efficient Hubble Space Telescope
Snapshot imaging survey for new galaxy-scale strong gravitational lenses. The
targeted lens candidates are selected spectroscopically from within the Sloan
Digital Sky Survey (SDSS) database of galaxy spectra for having multiple
nebular emission lines at a redshift significantly higher than that of the SDSS
target galaxy. In this paper, we present a catalog of 19 newly discovered
gravitational lenses, along with 9 other observed candidate systems that are
either possible lenses, non-lenses, or non-detections. The survey efficiency is
thus >=68%. We also present Gemini and Magellan IFU data for 9 of the SLACS
targets, which further support the lensing interpretation. A new method for the
effective subtraction of foreground galaxy images to reveal faint background
features is presented. We show that the SLACS lens galaxies have colors and
ellipticities typical of the spectroscopic parent sample from which they are
drawn (SDSS luminous red galaxies and quiescent main-sample galaxies), but are
somewhat brighter and more centrally concentrated. Several explanations for the
latter bias are suggested. The SLACS survey provides the first statistically
significant and homogeneously selected sample of bright early-type lens
galaxies, furnishing a powerful probe of the structure of early-type galaxies
within the half-light radius. The high confirmation rate of lenses in the SLACS
survey suggests consideration of spectroscopic lens discovery as an explicit
science goal of future spectroscopic galaxy surveys (abridged).
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:00:44 GMT""},{""version"":""v2"",""created"":""Fri, 18 Nov 2005 19:45:04 GMT""}]","2010-11-11"
"astro-ph/0511454","Richard Townsend","Mary Oksala, Rich Townsend","New Photometric Observations of sigma Ori E","3 pages, 2 figures, to appear in ""Active OB Stars: Laboratories for
  Stellar & Circumstellar Physics"", ASP Conf. Ser. 2005, S. Stefl, S. P. Owocki
  & A. Okazaki, eds",,,,"astro-ph",,"  We present new UBVRI observations of the magnetic Bp star sigma Ori E. The
basic features of the star's lightcurve have not changed since the previous
monitoring by Hesser et al. (1977), indicating that the star's magnetosphere
has remained stable over the past three decades. Interestingly, we find a
rotation period that is slightly longer than in the Hesser et al. (1977)
analysis, suggesting possible spindown of the star.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:24:34 GMT""}]","2007-05-23"
"astro-ph/0511455","Richard Townsend","Rich Townsend","Kappa-Mechanism Excitation of Retrograde Mixed Modes in B-Type Stars","3 pages, 1 figure, to appear in ""Active OB Stars: Laboratories for
  Stellar & Circumstellar Physics"", ASP Conf. Ser. 2005, S. Stefl, S. P. Owocki
  & A. Okazaki, eds",,,,"astro-ph",,"  The stability of retrograde mixed modes in rotating B-type stars is
investigated. It is found that these modes are susceptible to kappa-mechanism
excitation, due to the iron opacity bump at log T ~ 5.3. The findings are
discussed in the context of the pulsation of SPB and Be stars.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:27:58 GMT""}]","2007-05-23"
"astro-ph/0511456","Richard Townsend","Rich Townsend","sigma Ori E: The Archetypal Rigidly Rotating Magnetosphere","7 pages, 3 figures, to appear in ""Active OB Stars: Laboratories for
  Stellar & Circumstellar Physics"", ASP Conf. Ser. 2005, S. Stefl, S. P. Owocki
  & A. Okazaki, eds",,,,"astro-ph",,"  I review the basic concepts of the Rigidly Rotating Magnetosphere model for
the circumstellar plasma distribution around the helium-strong star sigma Ori
E. I demonstrate that the model can furnish a good fit to the photometric,
spectroscopic and magneticv ariability exhibited by this star, and argue that
the variability of other helium-strong stars may be amenable to a similar
interpretation.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:30:36 GMT""}]","2007-05-23"
"astro-ph/0511457","Jamie Crummy","J Crummy, AC Fabian, L Gallo, RR Ross","An Explanation for the soft X-ray excess in AGN","16 pages, MNRAS accepted","Mon.Not.Roy.Astron.Soc.365:1067-1081,2006","10.1111/j.1365-2966.2005.09844.x",,"astro-ph",,"  We present a large sample of type 1 active galactic nuclei (AGN) spectra
taken with XMM-Newton, and fit them with both the conventional model (a power
law and black body) and the relativistically-blurred photoionized disc
reflection model of Ross and Fabian (2005). We find the disc reflection model
is a better fit. The disc reflection model successfully reproduces the
continuum shape, including the soft excess, of all the sources. The model also
reproduces many features that would conventionally be interpreted as absorption
edges. We are able to use the model to infer the properties of the sources;
specifically that the majority of black holes in the sample are strongly
rotating and that there is a deficit in sources with an inclination > 70
degrees. We conclude that the disc reflection model is an important tool in the
study of AGN X-ray spectra.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:34:28 GMT""}]","2009-09-17"
"astro-ph/0511458","Eyer Laurent","Laurent Eyer","Astronomical databases, Space photometry and time series analysis: Open
  questions","13 pages, 5 figures, invited talk to appear in C.Sterken & C.Aerts
  (eds), Proceedings of the ENEAS-PhD School on Variable Stars. Pecs (Hungary),
  September 2005",,,,"astro-ph",,"  How to analyse Terabytes of photometric data, and extract knowledge on
variable stars? How to detect variable phenomena? How to combine different
photometric bands? Which algorithm to search for periods? How to characterize
and classify the detected variable objects? Many questions, but certainly no
definitive answers yet. We present several aspects which are at the interface
of photometric surveys and variable stars. Fully automated analyses of
photometric surveys are still not at an optimized level. We will take the
example of a future survey, the Gaia mission project of the European Space
Agency, to show different steps of a possible automated pipeline scheme.
Principal component analysis can be applied to the Gaia photometric bands. We
give some illustrative examples of classification methods such as Support
Vector Machine, Self-Organising Map, or Bayesian classifier.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:34:35 GMT""}]","2007-05-23"
"astro-ph/0511459","Mario Gliozzi","R. Sambruna (1), M. Gliozzi (2), D. Donato (2), L. Maraschi (3), F.
  Tavecchio (3), C.C. Cheung (4), M. Urry (5), J.F.C. Wardle (6) ((1) NASA
  GSFC, (2) GMU, (3) OAB, (4) MIT, (5) Yale, (6) Brandeis University)","Deep Chandra and multicolor HST follow-up of the jets in two powerful
  radio quasars","22 pages, 10 figures ps, 2 figures jpg, accepted for publication in
  ApJ","Astrophys.J.641:717-731,2006","10.1086/500526",,"astro-ph",,"  We present deep (70-80 ks) Chandra and multicolor HST ACS images of two jets
hosted by the powerful quasars 1136-135 and 1150+497, together with new radio
observations. The sources have an FRII morphology and were selected from our
previous X-ray and optical jet survey for detailed follow up aimed at obtaining
better constraints on the jet multiwavelength morphology and X-ray and optical
spectra of individual knots, and to test emission models deriving physical
parameters more accurately. All the X-ray and optical knots detected in our
previous short exposures are confirmed, together with a few new faint features.
The overlayed maps and the emissivity profiles along the jet show good
correspondence between emission regions at the various wavelengths; a few show
offsets between the knots peaks of <1"". In 1150+497 the X-ray, optical, and
radio profiles decrease in similar ways with distance from the core up to ~7"",
after which the radio emission increases more than the X-ray one. No X-ray
spectral variations are observed in 1150+497. In 1136-135 an interesting
behavior is observed, whereby, downstream of the most prominent knot at ~ 6.5""
from the core, the X-ray emission fades while the radio emission brightens. The
X-ray spectrum also varies, with the X-ray photon index flattening from ~2 in
the inner part to ~1.7 to the end of the jet. We intepret the jet behavior in
1136-135 in a scenario where the relativistic flow suffers systematic
deceleration along the jet, and briefly discuss the major consequences of this
scenario (abridged).
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 22:00:03 GMT""}]","2009-11-13"
"astro-ph/0511460","Eyer Laurent","Laurent Eyer","The Gaia mission. Pulsating stars with Gaia","7 pages, 4 figures, Invited contribution to appear in: A.R. Walker &
  G. Bono (eds), Proceedings of International Astrophysics Meeting 'Stellar
  pulsation and evolution', Memorie della Societa Astronomica Italiana. (with
  some corrections)","Mem.Soc.Ast.It.77:549-554,2006",,,"astro-ph",,"  Gaia is a cornerstone mission of the European Space Agency (ESA) selected in
2000, with a target launch date of 2011. The Gaia mission will perform a survey
of about 1 billion sources brighter than V=20. Its goal is to provide
astrometry leading to parallaxes, proper-motions and positions. Astrometric
data are complemented by multicolour photometry and a spectroscopic instrument
(up to V=17 mag) to provide astrophysical parameters (as effective
temperatures, surface gravities, metallicities) and radial velocities. The
survey will have multi-epoch observations allowing a detection of the variable
sources; objects will be measured as a mean 80/100 times over the 5 year
mission length in the two instruments on board, the Astro-/Spectro-instruments
respectively.
  The data processing of the mission is a major challenge: as a first step
working groups on different themes were created and have been active. One
working group has been dedicated to variable stars. A consortium for the data
processing is currently being created, the Data Processing and Analysis
Consortium.
  Though several aspects of the Gaia mission are under possible changes, we
review some activities related to the mission in the perspective of pulsating
stars.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 21:53:52 GMT""}]","2010-12-09"
"astro-ph/0511461","Christopher Peters","Christopher S. Peters, John R. Thorstensen","Spectroscopy of Four Cataclysmic Variables with Periods above 7 Hours","22 pages, 3 figures, 5 tables, to be published in December 2006 PASP",,"10.1086/497384",,"astro-ph",,"  We present spectroscopy of four cataclysmic variables. Using radial velocity
measurements, we find orbital periods for the first time. The stars and their
periods are GY Hya, 0.347230(9) d; SDSS J204448-045929, 1.68(1) d; V392 Hya,
0.324952(5) d; and RX J1951.7+3716, 0.492(1) d. We also detect the spectra of
the secondary stars, estimate their spectral types, and derive distances based
on surface brightness and Roche lobe constraints.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 2005 22:04:11 GMT""}]","2009-11-11"
